,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
347,South Dakota,1998,133698.0,793101,77009,281856,434236,781279,403237,214983,34336.0,107579,5.932033388681955,5.843610226031803,3.016028661610495
348,Tennessee,1998,876693.0,4757639,405078,2268050,2084511,4988208,2829375,1291193,274143.0,494391,5.426801628392151,5.689800192313615,3.2273270118502144
349,Texas,1998,3888061.0,24485263,1830474,10632566,12022223,25723965,12804069,6944751,1209084.0,3561286,6.29755114438791,6.616142339330581,3.293175955829911
350,Utah,1998,480811.0,2295870,166979,1394158,734733,2326611,1250866,536216,167139.0,307674,4.774994748456254,4.838930473720443,2.6015752551418334
351,Vermont,1998,101413.0,1089658,44750,253591,791317,1064388,461901,240460,25038.0,63485,10.744756589391892,10.495577490065376,4.554652756549949
352,Virginia,1998,1110815.0,7723744,401716,3046785,4275243,7813707,4109813,2275415,408498.0,796239,6.953222633831916,7.034210917209436,3.6998177014174276
353,Washington,1998,991235.0,6928738,438391,4546140,1944207,7211601,3520841,2098952,311726.0,997000,6.9900053973073994,7.275369614672606,3.551974052570783
354,West Virginia,1998,300737.0,2178936,202626,1351721,624589,2100841,1168793,606055,141099.0,171688,7.245320662239764,6.985641939634964,3.8864290060750757
355,Wisconsin,1998,881552.0,7083655,318567,3918690,2846398,7532110,3946529,2093343,240608.0,948070,8.03543636677133,8.544147140497667,4.476796604170826
356,Wyoming,1998,96504.0,703280,47201,330204,325875,706801,366104,216102,22636.0,84596,7.287573572079914,7.324059106358286,3.7936665837685486
357,Alabama,1999,737639.0,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314.0,515798,6.061970692981255,6.2670357722408925,3.2531170396359195
358,Alaska,1999,133508.0,1243227,187153,740163,315911,1289988,705069,403903,42897.0,119079,9.312003775054679,9.662252449291428,5.28109925996944
359,Arizona,1999,814157.0,5085826,495708,2259753,2330365,5072471,2272859,1426620,264903.0,871345,6.246738651144681,6.230335181052303,2.7916716309016567
360,Arkansas,1999,451981.0,2684966,232382,2001992,450592,2650808,1424443,767854,177666.0,196954,5.940439974246705,5.864866001004467,3.151555043242968
361,California,1999,5839207.0,41393435,3599923,23695095,14098417,40834643,21110543,11539910,1954362.0,4738866,7.088879534498434,6.993182978442107,3.615309921364322
362,Colorado,1999,698402.0,4740254,234939,2004039,2501276,5040224,2401914,1565012,179582.0,628011,6.787285832514798,7.2167949118129675,3.4391568179930756
363,Connecticut,1999,522415.0,5460213,208565,2074271,3177377,5269517,3016240,1535406,179789.0,300611,10.45186872505575,10.086840921489621,5.773647387613296
364,Delaware,1999,112320.0,1004472,61485,646592,296395,960335,529808,291268,42056.0,70433,8.942948717948719,8.549991096866098,4.716951566951567
365,District of Columbia,1999,71889.0,758072,122970,0,635102,738942,314138,351290,29741.0,43773,10.545034706283298,10.27893001710971,4.369764498045598
366,Florida,1999,2333567.0,17093036,1266927,8719985,7106124,16156822,7611469,4934846,1131998.0,2092359,7.324853325402699,6.92365893072708,3.261731503745125
367,Georgia,1999,1401291.0,10380164,672868,5148120,4559176,10106670,5328497,2710664,516763.0,1354872,7.407572017518132,7.21239913765235,3.8025627796082326
368,Hawaii,1999,188069.0,1328572,130547,1166940,31085,1357649,718107,350077,108410.0,181055,7.064279599508691,7.218887748645444,3.8183166816434393
369,Idaho,1999,244623.0,1405250,96761,867752,440737,1409367,763181,408262,57605.0,148467,5.744553864518054,5.761383843710526,3.1198252004104274
370,Illinois,1999,1987427.0,16208970,1089732,5665008,9454230,16783840,8205446,4827070,686866.0,2243726,8.155756161106797,8.445009552552118,4.128677933831029
371,Indiana,1999,986891.0,8167164,377681,4094272,3695211,8196714,4027481,2251783,370124.0,808948,8.275649489153311,8.30559200560143,4.080978547782886
372,Iowa,1999,498214.0,3740509,186056,1776000,1778453,3789049,1815795,1054419,245363.0,340182,7.50783599015684,7.6052640030187835,3.6446085417109915
373,Kansas,1999,469758.0,3390596,201872,2093218,1095506,3189867,1590684,1031073,204037.0,218426,7.217750416171731,6.790447421864023,3.386177563766876
374,Kentucky,1999,653628.0,4188131,379440,2584984,1223707,4305678,2236724,1254812,245016.0,477275,6.407514671954078,6.587352439002001,3.4220137448212133
375,Louisiana,1999,764642.0,4641847,532951,2364871,1744025,4702496,2547187,1328631,308590.0,418504,6.070614745201023,6.149931601978442,3.331215130740922
376,Maine,1999,210245.0,1708133,88888,740050,879195,1699835,1000023,447288,70608.0,86425,8.12448809721991,8.085019857784966,4.756465076458418
377,Maryland,1999,841671.0,6850334,372016,2686695,3791623,6892276,3660046,2096627,304175.0,608284,8.138968789467619,8.18880061211566,4.348547116391084
378,Massachusetts,1999,957402.0,8388120,413600,3571654,4402866,8673439,5220083,2332767,271812.0,425998,8.76133536382836,9.059349155318246,5.452341858487866
379,Michigan,1999,1696275.0,15248112,1018825,9519308,4709979,15837858,7222378,4848897,701589.0,1875573,8.989174514745546,9.336845735508689,4.2577872102106085
380,Minnesota,1999,843802.0,6949149,322148,3873937,2753064,7450965,3622534,1855510,497073.0,965469,8.235520892342043,8.830229129582532,4.293109046909109
381,Mississippi,1999,502382.0,2532681,339359,1374920,818402,2811852,1377699,730765,181454.0,455812,5.041345032266284,5.597039702855596,2.742333523095971
382,Missouri,1999,911563.0,6238901,403205,2964597,2871099,6228001,3267404,1780317,354185.0,615448,6.844179722081743,6.832222238068022,3.5843973482907927
383,Montana,1999,159813.0,1049369,115211,466300,467858,1026263,590589,313874,40088.0,69898,6.566230531934198,6.421649052329911,3.695500366052824
384,Nebraska,1999,290383.0,2212104,150963,805824,1255317,2062226,1127843,541116,85361.0,244788,7.617883967036637,7.101744936859252,3.8839842552766517
385,Nevada,1999,311063.0,2089048,92027,1324474,672547,2298474,1038564,642090,65517.0,448757,6.7158356988777195,7.389094813590816,3.338757743608208
386,New Hampshire,1999,201252.0,1498286,58224,127705,1312357,1491560,859115,401938,46962.0,84168,7.444825393039572,7.4114046071591835,4.268851986564108
387,New Jersey,1999,1257772.0,14977501,534670,5870448,8572383,14927302,7900043,4702475,536974.0,1113055,11.907961856361885,11.868050807300529,6.28098176776077
388,New Mexico,1999,328715.0,2068337,277349,1509815,281173,2098998,998467,688769,104374.0,276238,6.292189282509164,6.3854646122020595,3.0374853596580627
389,New York,1999,2850352.0,30215370,1794853,12605931,15814586,31841870,18323434,7913623,893364.0,3309820,10.60057494653292,11.17120622295071,6.428481113911545
390,North Carolina,1999,1244926.0,8476795,557142,5558333,2361320,8674393,4434300,2202906,472499.0,1365695,6.809075398859049,6.967798085990653,3.5618984582216133
391,North Dakota,1999,114546.0,770094,92078,287048,390968,756337,380850,192729,53045.0,73822,6.72301084280551,6.602910621060535,3.3248651196899064
392,Ohio,1999,1834379.0,14507056,787687,6041429,7677940,13865260,7115101,4550926,681105.0,1206274,7.908428956066331,7.5585579643029055,3.8787518827897616
393,Oklahoma,1999,628522.0,3788901,333408,2158427,1297066,3817848,1934516,1155058,366350.0,320344,6.028271086771824,6.074326753876555,3.07788112428841
394,Oregon,1999,541436.0,4080653,284390,2299646,1496617,4172435,2184194,1385373,152102.0,328891,7.536722715150082,7.706238595143286,4.034076049616206
395,Pennsylvania,1999,1787430.0,16361921,919648,5963486,9478787,17113809,8562120,4564230,650115.0,1843095,9.153880711412475,9.574533827898156,4.790184790453332
396,Rhode Island,1999,153710.0,1358566,77904,568748,711914,1289045,792559,382899,51755.0,28611,8.838501073450002,8.386214299655196,5.156196734109687
397,South Carolina,1999,652731.0,4365352,342400,2278900,1744052,4610436,2222890,1306221,266738.0,702407,6.68782699151718,7.063301727664229,3.405522336153791
398,South Dakota,1999,131728.0,825851,84745,295753,445353,838078,425090,228657,33934.0,123444,6.2693656625774326,6.362185716020892,3.227028422203328
399,Tennessee,1999,893842.0,5059587,417870,2369846,2271871,5446555,3008844,1369969,291537.0,669601,5.66049368904124,6.093420313657224,3.366192235316756
400,Texas,1999,3933017.0,26096023,2161662,10802214,13132147,27883593,13486659,7594544,1306137.0,3970379,6.63511573939294,7.089619241411873,3.429087390163836
401,Utah,1999,478814.0,2425600,174299,1481463,769838,2448591,1314796,568221,188105.0,312833,5.065850204881228,5.113866762458909,2.745943101078916
402,Vermont,1999,100348.0,1147600,52814,677199,417587,1129982,508426,261788,24725.0,44146,11.436202016980907,11.260632997169848,5.066628134093355
403,Virginia,1999,1122858.0,8331336,418359,3512788,4400189,8335873,4360356,2423486,441515.0,875124,7.419759221557846,7.423799803715163,3.8832657379650857
404,Washington,1999,999616.0,7288143,486500,4696554,2105089,7489129,3644065,2163836,330124.0,1053316,7.29094272200525,7.492005930277227,3.645464858505666
405,West Virginia,1999,296551.0,2190420,188865,1355717,645838,2169432,1216907,637240,146453.0,155822,7.386318036357996,7.315544375166498,4.103533624907689
406,Wisconsin,1999,878983.0,7415243,323924,4051567,3039752,7875805,4082725,2218556,249719.0,986589,8.436162019060664,8.960133472433483,4.644828170738228
407,Wyoming,1999,94420.0,780875,57983,408271,314621,739019,390565,237461,24829.0,71423,8.270228765092142,7.826932853209066,4.136464732048295
408,Alabama,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903,6.691350399351396,6.852063315547862,3.494616425448928
409,Alaska,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546,9.889250274803873,10.441824396560811,5.403660538163859
410,Arizona,2000,814807.0,5479168,534619,2481089,2463460,5397194,2488932,1573568,270671.0,768425,6.724497948593961,6.623892529151075,3.05462766029256
411,Arkansas,2000,450751.0,2844855,254735,2126099,464021,2683400,1531232,804253,138220.0,146666,6.31136702969045,5.953175921961349,3.397068447990132
412,California,2000,5941946.0,46628207,4024940,26877920,15725347,45829753,23514388,12429070,2269603.0,5849441,7.847295650280228,7.7129198077532175,3.9573547117392183
413,Colorado,2000,707436.0,5073266,266207,2083318,2723741,5444193,2539372,1674044,191201.0,782711,7.171342708032952,7.695668583447831,3.589543082342431
414,Connecticut,2000,530363.0,5884078,234321,2298931,3350826,5605280,3189123,1634888,180639.0,369278,11.094435320714304,10.568761395497047,6.013094804878922
415,Delaware,2000,112743.0,1098555,69540,716375,312640,1040480,571982,313410,42630.0,79176,9.743886538410367,9.228776952892863,5.0733260601545105
416,District of Columbia,2000,70762.0,881423,184825,0,696598,858807,318260,429891,23107.0,87549,12.456162912297561,12.136556343800345,4.49761171250106
417,Florida,2000,2377271.0,17558787,1398757,8804217,7355813,17180954,7751117,5113323,1151140.0,2792662,7.386110796791783,7.227175193741059,3.2605104760879176
418,Georgia,2000,1422941.0,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396.0,1520834,7.869452071449203,7.649305206610816,4.006696693678796
419,Hawaii,2000,185860.0,1404895,127042,1247256,30597,1363511,765134,373038,109367.0,115972,7.558888410631658,7.336226191757237,4.11672226406973
420,Idaho,2000,245226.0,1452222,109898,888384,453940,1467977,798629,425211,59735.0,153472,5.921974015805828,5.986220873806203,3.256706058900769
421,Illinois,2000,2003839.0,17595047,1283052,6344130,9967865,18073190,8738312,5245226,716792.0,2467748,8.780669005843285,9.019282487265693,4.360785472285947
422,Indiana,2000,987214.0,8489991,426266,4300608,3763109,8518477,4143020,2373445,375026.0,841171,8.599949960191003,8.628804899444296,4.196678734296718
423,Iowa,2000,497301.0,3822452,217060,1879158,1726234,3974813,1906755,1104075,260900.0,353405,7.686395161079507,7.992770977737829,3.8342070496540326
424,Kansas,2000,469377.0,3518271,221530,2201788,1094953,3327090,1661540,1092448,209338.0,206141,7.495618660479742,7.088310675640264,3.5398837182051954
425,Kentucky,2000,646467.0,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400.0,515109,6.698082036670085,6.977884408639575,3.6283074000683717
426,Louisiana,2000,750755.0,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212.0,414669,6.374024815019547,6.4030169629239895,3.465423473703139
427,Maine,2000,209012.0,1792390,104497,761317,926576,1842276,1053067,474866,77649.0,143112,8.575536332842134,8.814211624212964,5.038308805236063
428,Maryland,2000,846582.0,7419047,409021,2804218,4205808,7355698,3874590,2189499,300044.0,760810,8.763530290036877,8.688701153579926,4.576745076082411
429,Massachusetts,2000,958907.0,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913.0,533702,9.869852863729225,9.872034514295963,5.865049478208001
430,Michigan,2000,1700074.0,15939477,1030238,9942275,4966964,16580526,7709336,5109653,742727.0,1866666,9.375754820084301,9.752826053454143,4.534706136321125
431,Minnesota,2000,839839.0,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329.0,901829,8.74542263457639,9.211754872064764,4.555315959368403
432,Mississippi,2000,499362.0,2743284,368830,1504225,870229,2996474,1524728,810371,183118.0,421075,5.4935778052795365,6.000604771688675,3.0533520772505716
433,Missouri,2000,913517.0,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060.0,756817,7.307209389644637,7.343714457421154,3.7867724410164234
434,Montana,2000,157381.0,1104935,130928,487115,486892,1051768,613132,327975,41385.0,57419,7.020764895381272,6.682941396992013,3.8958451147215993
435,Nebraska,2000,287566.0,2263952,152143,812998,1298811,2165529,1188826,570910,94639.0,243866,7.872808329218336,7.5305460311719745,4.134097911435983
436,Nevada,2000,325610.0,2252416,110210,1378678,763528,2437438,1114489,695694,69965.0,428541,6.917527102975953,7.485759036884617,3.422772642117871
437,New Hampshire,2000,203178.0,1586869,54657,865318,666894,1640395,902062,445733,49746.0,130011,7.8102402819202865,8.073684158717972,4.43976217897607
438,New Jersey,2000,1279542.0,15651060,578978,6093162,8978920,15907248,8244717,5041897,568802.0,1320024,12.231767304238549,12.431985819926192,6.443490717772453
439,New Mexico,2000,324489.0,2191695,296222,1571088,324385,2165031,1048533,727644,101479.0,255735,6.7542967558222315,6.672124478795891,3.2313360391261337
440,New York,2000,2861478.0,31906526,1938590,13766358,16201578,33683043,19856637,8377510,1057876.0,3266115,11.150365650198953,11.77120460125851,6.939293959275592
441,North Carolina,2000,1261586.0,9064700,622184,5897936,2544580,9275837,4854623,2356589,479183.0,1385226,7.1851621688890015,7.3525205574570425,3.8480317631933136
442,North Dakota,2000,112349.0,812982,96940,303132,412910,802768,402602,204117,55808.0,81274,7.236219280990485,7.145306144246945,3.583494290113842
443,Ohio,2000,1822566.0,15327834,843432,6425872,8058530,14909952,7497388,4889221,725617.0,1378528,8.410029595636043,8.180747363881473,4.1136441698133295
444,Oklahoma,2000,627032.0,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753.0,286261,6.230675627400196,6.182891782237589,3.0751572487528547
445,Oregon,2000,542739.0,4369400,268568,2457202,1643630,4398318,2288931,1433944,148604.0,391189,8.050646811819309,8.103928407577122,4.217369674926622
446,Pennsylvania,2000,1782444.0,17090654,1022578,6163912,9904164,17861852,8818088,4887123,681741.0,1851099,9.588325916550534,10.020989158705687,4.947189364714965
447,Rhode Island,2000,155351.0,1464820,81655,610999,772166,1388454,845667,421472,57496.0,30587,9.429099265534177,8.937528564347831,5.443589033865247
448,South Carolina,2000,666780.0,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840.0,716110,7.03443114670506,7.440823060079786,3.6385899397102492
449,South Dakota,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296,6.663859869971369,6.897573668818459,3.4063740126958297
450,Tennessee,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326,5.884481416896857,6.3988538637731445,3.490003549296644
451,Texas,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976,7.291766379532276,7.833626367918474,3.786732681605589
452,Utah,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172,5.32954262454613,5.186769491560894,2.8373685477204473
453,Vermont,2000,99609.0,1211370,65052,711259,435059,1193813,555740,283821,29595.0,39112,12.161250489413607,11.984991316045738,5.5792147295927075
454,Virginia,2000,1132673.0,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530.0,1011384,7.867606979242906,8.082364459998605,4.258757823308228
455,Washington,2000,1003714.0,7620930,543966,4812796,2264168,7811937,3818756,2285577,350703.0,1048059,7.592730598556959,7.783030823521441,3.8046256204456648
456,West Virginia,2000,290982.0,2243151,210082,1365346,667723,2243563,1271988,672003,156775.0,129872,7.708899519557911,7.710315414699191,4.3713631771037385
457,Wisconsin,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597,8.947406702273803,9.329203741599358,4.817437996272081
458,Wyoming,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579,8.568755917852052,8.37938465222076,4.542994895682553
459,Alabama,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284,6.633814300538617,6.981223885841665,3.6462269330653974
460,Alaska,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279,10.042792741599424,10.628775997272417,5.31161116793575
461,Arizona,2001,834387.0,5916342,580043,2729793,2606506,5858385,2538936,1701945,269157.0,1035457,7.09064498847657,7.021184414426399,3.0428757878538377
462,Arkansas,2001,449693.0,2974588,274406,2135281,564901,2951677,1616883,877225,153300.0,235346,6.614708256521672,6.563760165268305,3.595526281262995
463,California,2001,6045030.0,53288943,4280358,31374889,17633696,52082540,26641811,14127664,2570224.0,6755895,8.815331437561104,8.61576203922892,4.407225605166558
464,Colorado,2001,723696.0,5372784,292518,2222723,2857543,5727966,2709184,1844900,209212.0,672080,7.424089673011872,7.914878623068249,3.7435387234418873
465,Connecticut,2001,537521.0,6331569,256685,2389572,3685312,5987680,3360042,1748476,231240.0,385785,11.779203045090332,11.139434552324467,6.250996705245004
466,Delaware,2001,112055.0,1153831,77483,754926,321422,1175717,613955,349525,45976.0,132922,10.297005934585695,10.492320735353175,5.479050466288876
467,District of Columbia,2001,68925.0,1042261,114876,0,927385,1026146,412276,394656,35108.0,184106,15.121668480232136,14.887863619876677,5.981516140732681
468,Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679,7.59373802368863,7.5617891313894905,3.4594474900941
469,Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496,8.493077552862166,8.203679468378207,4.385351056828084
470,Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944,9.125254935994793,7.394033412887828,3.97326968973747
471,Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442,6.441904512024139,6.294880414551955,3.499967203168174
472,Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635,9.151650982175525,9.548248141339657,4.600521713626325
473,Indiana,2001,987854.0,9124748,444861,4590018,4089869,8991877,4364661,2553481,395908.0,832585,9.236939871681443,9.102435177667955,4.418325987443489
474,Iowa,2001,495080.0,4068110,239495,1943702,1884913,4211493,1994331,1171278,271596.0,405205,8.217076028116669,8.506691847782177,4.028300476690636
475,Kansas,2001,468347.0,3681845,238960,2253677,1189208,3491029,1721113,1159966,220701.0,209716,7.861361341056951,7.453936931377803,3.6748671391083962
476,Kentucky,2001,643730.0,4536133,446180,2727410,1362543,4350588,2467964,1372283,254444.0,156395,7.046639118885247,6.758404921317944,3.8338495953272336
477,Louisiana,2001,737223.0,4982369,577645,2425436,1979288,4939894,2654239,1457593,316925.0,409235,6.758292945282499,6.700678085192676,3.600320391523325
478,Maine,2001,207171.0,1914551,112074,812384,990093,1958646,1118171,513216,79883.0,149225,9.241404443672135,9.454247940107447,5.397333603641436
479,Maryland,2001,852920.0,7864290,467001,2928704,4468585,7981362,4172982,2366854,369293.0,813068,9.220430990010787,9.357691225437321,4.892583126201754
480,Massachusetts,2001,965934.0,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708.0,944333,10.98763373066897,10.944990030374747,6.351571639470191
481,Michigan,2001,1705088.0,16772419,1090642,10480592,5201185,17573761,8136476,5430837,795607.0,2007947,9.836688194392313,10.306659245739809,4.771880395615945
482,Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810,9.369617616746336,9.829954112096567,4.760847264301411
483,Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202,5.685955856140725,5.901946172607767,3.119714891654398
484,Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516,7.767898138916037,7.788631450092303,4.014010505959922
485,Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732,7.368836457659987,7.298629605688429,4.12552036199095
486,Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832,8.254882925444484,8.216997101611812,4.401950716886703
487,Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873,7.0169096570639065,7.932926990935363,3.4507484143514087
488,New Hampshire,2001,204721.0,1757828,76689,884225,796914,1796043,937479,486152,53143.0,166814,8.586456689836412,8.77312537551106,4.579300609121683
489,New Jersey,2001,1301195.0,16854895,620507,6617681,9616707,17144456,8782754,5499870,610241.0,1466889,12.953396685354617,13.175931355407913,6.7497600282816945
490,New Mexico,2001,319524.0,2373143,327191,1691663,354289,2315182,1096488,761848,114558.0,308741,7.427119715576921,7.245721761119666,3.4316295489540694
491,New York,2001,2856277.0,34373567,1912495,16032781,16428291,38062603,22052316,9100764,1157116.0,4579196,12.034395473548258,13.325949478989608,7.720650343086472
492,North Carolina,2001,1277013.0,9670620,661215,6065716,2943689,9807815,5187906,2587298,508494.0,1307270,7.572843815998741,7.6802781177638755,4.062531861461081
493,North Dakota,2001,108788.0,818139,102694,301755,413690,814838,419201,218137,58449.0,57760,7.520489392212377,7.490145971982204,3.8533753722837076
494,Ohio,2001,1821546.0,16693845,956899,7088781,8648165,16282257,8001840,5327100,769489.0,1712711,9.164657384441568,8.938702069560692,4.392883847017863
495,Oklahoma,2001,623110.0,4257128,419762,2394346,1443020,4288405,2119420,1386368,417849.0,322947,6.832064964452504,6.882259954101202,3.401357705702043
496,Oregon,2001,544756.0,4561948,327582,2565977,1668389,4715944,2435402,1553819,160650.0,419442,8.374296015096666,8.656984044232647,4.470629052272944
497,Pennsylvania,2001,1771473.0,17792997,1083862,6305118,10404017,18666522,9182658,5142302,708895.0,1869506,10.04418187576102,10.537288459942658,5.183628539639046
498,Rhode Island,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392,10.191150215965445,9.624860022396417,5.892484402495601
499,South Carolina,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817,8.035714021821212,8.11688077543185,3.931694550312481
500,South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663,6.927796790273936,7.427335802353382,3.685426531026831
501,Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777,6.207389943951982,6.882554789420867,3.664713190651445
502,Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465,7.675885949021953,8.25591471913088,3.9578049177739345
503,Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553,5.743372156353429,5.5922346977250825,3.0132368343876994
504,Vermont,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053,13.306790155042727,13.370649337358644,6.091091439390063
505,Virginia,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113,8.300230720742222,8.622709075919277,4.495556505599284
506,Washington,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063,7.897788012654713,7.987649811960674,3.965272186799331
507,West Virginia,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916,8.124047798169952,8.083342372762742,4.570236366499292
508,Wisconsin,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973,9.552535551167297,9.793407487017014,5.064377564760744
509,Wyoming,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913,8.965422300498266,8.783192696547804,4.749384133495335
510,Alabama,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146,7.060561671992257,7.087079947189231,3.7456753954956654
511,Alaska,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409,10.358371551011203,11.452725358995565,5.61779565446207
512,Arizona,2002,859588.0,6192222,619869,2825228,2747125,6018188,2659448,1833852,286945.0,966925,7.20370921883507,7.001247109080164,3.0938635718507004
513,Arkansas,2002,449161.0,3147921,331069,2334551,482301,3087453,1697645,910208,165003.0,239177,7.0084468598119605,6.873822526889022,3.7795912824132105
514,California,2002,6136915.0,54727056,5084409,31005317,18637330,56464225,28593157,15568570,2882414.0,6998522,8.917681929764385,9.200750702918324,4.659206946812853
515,Colorado,2002,741319.0,5849588,338856,2460333,3050399,6237142,2963406,1967267,225545.0,779315,7.890783859580019,8.413573643735019,3.9974774692136585
516,Connecticut,2002,543829.0,6644334,288620,2490036,3865678,6475918,3570517,1847167,241930.0,542302,12.217689751741815,11.908004170428573,6.565514159781843
517,Delaware,2002,111331.0,1180255,86532,764350,329373,1246284,645895,352551,51060.0,154186,10.60131499761971,11.194402277892051,5.801573685676047
518,District of Columbia,2002,68449.0,1138126,141514,0,996612,1145684,452905,431693,42192.0,218894,16.627357594705547,16.737775570132506,6.616678110710164
519,Florida,2002,2500179.0,18541689,1762460,8542871,8236358,19051049,8781232,5589428,1245146.0,2999914,7.41614460404635,7.619874017020381,3.512241323521236
520,Georgia,2002,1470634.0,13042229,904826,6361710,5775693,12690343,6894589,3341604,616115.0,1659378,8.868439734155473,8.629164700394524,4.6881746240057005
521,Hawaii,2002,184546.0,1889600,170152,1684226,35222,1436637,815123,457784,121615.0,42115,10.239181559069284,7.784709503321665,4.416909605193285
522,Idaho,2002,244937.0,1625444,138930,988386,498128,1666027,896815,499035,67785.0,167918,6.636171750286809,6.801859253603988,3.661410893413408
523,Illinois,2002,2047836.0,19084554,1438287,6808150,10838117,20563001,9904454,6025120,683101.0,2897117,9.31937616098164,10.041331923064151,4.836546481261195
524,Indiana,2002,994348.0,9273957,523331,4446730,4303896,9353054,4586033,2650367,365778.0,875596,9.326671346450135,9.406217943818461,4.612100592549088
525,Iowa,2002,485932.0,4191217,273857,1951680,1965680,4418238,2109878,1180608,278099.0,459382,8.625110097709145,9.092296864581876,4.341920268679568
526,Kansas,2002,470204.0,3823261,282329,2281992,1258940,3690815,1958937,1195259,166405.0,231630,8.131068642546639,7.849390902672032,4.166142780580344
527,Kentucky,2002,654363.0,4621025,486226,2743882,1390917,4541670,2598897,1424273,277021.0,146218,7.061867801205142,6.940597191467122,3.971644179148271
528,Louisiana,2002,725027.0,5229238,667687,2536111,2025440,5298267,2882613,1536497,329637.0,443002,7.212473466505386,7.307682334588919,3.9758698641567833
529,Maine,2002,205344.0,2041986,141528,853761,1046697,2057022,1180701,548552,78092.0,140092,9.944220430107526,10.017443899018232,5.7498685133239835
530,Maryland,2002,860640.0,8430663,527311,3133775,4769577,8568446,4482809,2469485,392195.0,941083,9.795806609035136,9.955900260271425,5.2086923684699755
531,Massachusetts,2002,959641.0,11217085,600037,4681737,5935311,11507438,6256148,3256542,351743.0,1154305,11.68883467880176,11.991398866867922,6.519258764475465
532,Michigan,2002,1724961.0,18055855,1254550,11203813,5597492,18881772,8402799,5841256,862090.0,2353031,10.467398973078232,10.946202261964183,4.871297959779961
533,Minnesota,2002,832265.0,8065042,409915,4771002,2884125,8716123,4113812,2071915,595228.0,1283085,9.690473587138712,10.472773695878116,4.942911212174007
