,state,year,enroll,total_rev,fed_rev,st_rev,loc_rev,total_exp,instruction_exp,service_exp,other_exp,capital_exp,rev_per_student,exp_per_student,ins_exp_per_student
88,Oregon,1993,509814.0,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785.0,209804,6.16149615349912,6.177009654501446,3.358640602258863
89,Pennsylvania,1993,1719829.0,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867.0,966827,7.1340941454063165,7.447872433829177,3.986527730373194
90,Rhode Island,1993,138939.0,919594,46215,351512,521867,901540,588044,268106,11541.0,12708,6.618688777089226,6.488746860132864,4.232389753776837
91,South Carolina,1993,631613.0,3031112,277419,1419961,1333732,2994038,1592384,820795,269661.0,221824,4.799001920479787,4.740304585244446,2.5211387352698567
92,South Dakota,1993,107050.0,465650,52787,120851,292012,481665,265549,139963,22308.0,43632,4.349836524988323,4.49943951424568,2.480607192900514
93,Tennessee,1993,844668.0,3268642,334410,1535027,1399205,3286481,1969619,781510,209586.0,248037,3.869735801522018,3.890855341980518,2.331826232318497
94,Texas,1993,3535333.0,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683.0,2989512,5.732756999128512,5.254065458614507,2.521472517581795
95,Utah,1993,462323.0,1638305,116791,928596,592918,1665011,881924,410867,128758.0,207312,3.5436372406304684,3.601402050081869,1.907592743601335
96,Vermont,1993,97454.0,837540,34179,216778,586583,809853,405876,193543,22698.0,15655,8.594208549674718,8.310105280440002,4.164795698483387
97,Virginia,1993,1032842.0,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062.0,488487,5.730340168196103,5.765967108231463,3.0220275705286967
98,Washington,1993,896197.0,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224.0,942214,5.881475836227972,6.4622354236847475,3.1000639368353164
99,West Virginia,1993,317719.0,1832154,140913,1220263,470978,1829848,1023497,500010,116349.0,171484,5.7665861972371815,5.759328211406935,3.221390599869696
100,Wisconsin,1993,829085.0,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368.0,500029,6.462479721620823,6.80354607790516,3.7534269706966112
